Date ,USD ,USD_R,GBP,GBP_R,Crude oil ,CO_R,Nifty 50,Nifty_R
01-01-2015,63.3213,,98.6356,,54.56,,8284,
02-01-2015,63.2878,,98.3872,,52.69,,8395.45,
05-01-2015,63.3888,,96.8454,,50.04,,8378.4,
06-01-2015,63.385,,96.7192,,47.93,,8127.35,
07-01-2015,63.4495,,95.9864,,48.65,,8102.1,
08-01-2015,62.967,,94.9731,,48.79,,8234.6,
09-01-2015,62.3953,,94.167,,48.36,,8284.5,
12-01-2015,62.1605,,94.2788,,46.07,,8323,
13-01-2015,62.1021,,94.0971,,45.89,,8299.4,
14-01-2015,62.153,,94.2426,,48.48,,8277.55,
15-01-2015,61.7588,,94.0154,,46.25,,8494.15,
16-01-2015,61.8933,,93.9231,,48.69,,8513.8,
19-01-2015,61.699,,93.4123,,47.78,,8550.7,
20-01-2015,61.8475,,93.266,,46.39,,8695.6,
21-01-2015,61.614,,93.4931,,47.78,,8729.5,
22-01-2015,61.691,,93.3261,,46.31,,8761.4,
23-01-2015,61.4988,,92.1621,,45.59,,8835.6,
27-01-2015,61.464,,92.7676,,46.23,,8910.5,
28-01-2015,61.4105,,93.1843,,44.45,,8914.3,
29-01-2015,61.4998,,93.123,,44.53,,8952.35,
30-01-2015,61.7575,,93.1303,,48.24,,8808.9,
02-02-2015,61.884,,93.2716,,49.57,,8797.4,
03-02-2015,61.7389,,92.7071,,53.05,,8756.55,
04-02-2015,61.68,,93.5316,,48.45,,8723.7,
05-02-2015,61.8748,,94.0683,,50.48,,8711.7,
06-02-2015,61.7363,,94.6541,,51.69,,8661.05,
09-02-2015,62.141,,94.7899,,52.86,,8526.35,
10-02-2015,61.9634,,94.4136,,50.02,,8565.55,
11-02-2015,62.1536,,94.7221,,48.84,,8627.4,
12-02-2015,62.43,,95.0185,,51.21,,8711.55,
13-02-2015,62.136,,95.7764,,52.78,,8805.5,
16-02-2015,62.2023,,95.9968,,53.61,,8809.35,
18-02-2015,62.245,,95.571,,52.14,,8869.1,
20-02-2015,62.255,,96.0097,,50.34,,8833.6,
23-02-2015,62.1838,,95.7071,,49.45,,8754.95,
24-02-2015,62.2758,,96.2099,,49.28,,8762.1,
25-02-2015,62.0468,,96.0298,,50.99,,8767.25,
26-02-2015,61.9395,,96.2416,,48.17,,8683.85,
27-02-2015,61.7908,,95.4235,,49.76,,8844.6,
02-03-2015,61.8248,,95.2658,,49.59,,8956.75,
03-03-2015,61.8387,,95.1388,,50.52,,8996.25,
04-03-2015,61.8543,,94.9649,,51.53,,8922.65,
